ITEM: TIMESTEP
1800
ITEM: NUMBER OF ATOMS
3029
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.95526 -2.73149 0.0971568 0.1
-0.740978 -2.60507 0.0992133 0.1
-0.209351 -2.54134 0.407785 0.5
0.767964 -2.44935 0.398343 0.5
1.44297 -2.5007 0.0976022 0.1
-1.15342 -2.25809 0.405044 0.5
0.015019 -1.89823 0.0939214 0.1
0.372901 -2.07498 0.0966787 0.1
-0.152494 -2.03445 0.0940398 0.1
0.265203 -2.38193 0.0909099 0.1
0.0323638 -2.09681 0.0954873 0.1
1.12903 -2.07684 0.0937223 0.1
0.848493 -1.94318 0.0930486 0.1
1.62699 -1.9979 0.410561 0.5
1.27013 -2.34781 0.0914983 0.1
2.13644 -1.96055 0.0982367 0.1
2.33784 -1.70789 0.0953133 0.1
-2.62383 -1.28381 0.0857022 0.1
-2.51204 -1.44636 0.0977193 0.1
-2.41055 -1.6167 0.0967652 0.1
-2.31702 -1.38764 0.0977624 0.1
-1.91427 -1.69545 0.417238 0.5
-1.42207 -1.80745 0.0969454 0.1
-0.922227 -1.57349 0.098838 0.1
-0.624843 -1.16357 0.0982218 0.1
-0.415579 -1.61934 0.427851 0.5
0.000827911 -1.20736 0.146003 0.15
0.505725 -1.5445 0.371237 0.5
0.987369 -1.74638 0.0924592 0.1
1.03091 -1.51736 0.0918691 0.1
1.32352 -1.59875 0.0902822 0.1
1.1521 -1.84885 0.0912482 0.1
2.24081 -1.2305 0.440044 0.5
1.97582 -1.63307 0.0930307 0.1
1.78486 -1.41459 0.0977046 0.1
1.59708 1.45228 2.46511 0.1
1.53628 2.15237 2.56334 0.1
2.56443 -1.35512 0.036113 0.1
-1.8642 -0.918103 0.117734 0.1
-2.3884 -0.871139 0.405293 0.5
-1.64118 -0.858197 0.0980824 0.1
-1.4765 -0.373615 0.0960783 0.1
-1.78374 -0.591399 0.152833 0.15
-1.94396 -1.1785 0.0995259 0.1
-1.15492 -1.08389 0.365167 0.5
-0.792933 -0.688804 0.0972657 0.1
-0.433833 -1.11077 0.0983048 0.1
-0.640485 -0.933061 0.098027 0.1
-0.234756 -1.11247 0.0980834 0.1
-0.245674 -0.905904 0.0946655 0.1
-0.125776 -1.00061 0.224762 0.1
-0.602509 -0.865923 0.303793 0.1
-0.54906 -0.683644 0.14591 0.15
-0.55311 -1.04903 0.243002 0.1
0.0257448 -0.96329 0.0982196 0.1
-0.0536777 -1.11436 0.374594 0.1
0.216199 -1.08138 0.100354 0.1
0.120121 -1.03024 0.268306 0.1
0.608006 -0.83559 0.0963194 0.1
